match_id,season,team,batsman,batting_hand,runs,balls,fours,sixes,strike_rate,dismissed
1,2008,Chennai Super Kings,MS Dhoni,RHB,54,54,8,1,100.0,True
1,2008,Chennai Super Kings,Suresh Raina,LHB,34,34,5,1,100.0,True
1,2008,Chennai Super Kings,Ruturaj Gaikwad,RHB,26,26,2,3,100.0,False
1,2008,Mumbai Indians,Rohit Sharma,RHB,49,49,5,1,100.0,True
1,2008,Mumbai Indians,Hardik Pandya,RHB,40,40,6,1,100.0,True
1,2008,Mumbai Indians,Ishan Kishan,LHB,33,33,4,3,100.0,True
1,2008,Mumbai Indians,Quinton de Kock,LHB,23,23,2,1,100.0,True
2,2008,Chennai Super Kings,MS Dhoni,RHB,37,37,4,0,100.0,True
2,2008,Chennai Super Kings,Suresh Raina,LHB,35,35,5,4,100.0,False
2,2008,Chennai Super Kings,Ruturaj Gaikwad,RHB,23,23,3,1,100.0,True
2,2008,Delhi Capitals,Shikhar Dhawan,LHB,40,40,6,3,100.0,True
2,2008,Delhi Capitals,Rishabh Pant,LHB,31,31,3,1,100.0,False
3,2008,Mumbai Indians,Rohit Sharma,RHB,38,38,6,4,100.0,False
3,2008,Mumbai Indians,Hardik Pandya,RHB,33,33,3,2,100.0,True
3,2008,Mumbai Indians,Ishan Kishan,LHB,24,24,4,1,100.0,True
3,2008,Mumbai Indians,Quinton de Kock,LHB,17,17,1,1,100.0,True
3,2008,Delhi Capitals,Shikhar Dhawan,LHB,44,44,6,3,100.0,False
3,2008,Delhi Capitals,Rishabh Pant,LHB,25,25,2,2,100.0,True
4,2008,Mumbai Indians,Rohit Sharma,RHB,65,60,8,4,108.33,False
4,2008,Mumbai Indians,Hardik Pandya,RHB,33,33,3,2,100.0,True
4,2008,Mumbai Indians,Ishan Kishan,LHB,30,30,4,0,100.0,False
4,2008,Mumbai Indians,Quinton de Kock,LHB,27,27,2,1,100.0,True
4,2008,Rajasthan Royals,Jos Buttler,RHB,36,36,5,0,100.0,True
4,2008,Rajasthan Royals,Sanju Samson,RHB,47,47,4,4,100.0,False
5,2008,Sunrisers Hyderabad,David Warner,LHB,39,39,4,1,100.0,False
5,2008,Mumbai Indians,Rohit Sharma,RHB,58,58,9,6,100.0,True
5,2008,Mumbai Indians,Hardik Pandya,RHB,36,36,4,4,100.0,False
5,2008,Mumbai Indians,Ishan Kishan,LHB,23,23,2,1,100.0,False
5,2008,Mumbai Indians,Quinton de Kock,LHB,22,22,1,0,100.0,False
6,2008,Delhi Capitals,Shikhar Dhawan,LHB,50,50,8,4,100.0,False
6,2008,Delhi Capitals,Rishabh Pant,LHB,44,44,4,1,100.0,False
6,2008,Rajasthan Royals,Jos Buttler,RHB,50,50,4,2,100.0,True
6,2008,Rajasthan Royals,Sanju Samson,RHB,42,42,5,2,100.0,True
7,2008,Delhi Capitals,Shikhar Dhawan,LHB,39,39,4,0,100.0,True
7,2008,Delhi Capitals,Rishabh Pant,LHB,43,43,6,4,100.0,False
7,2008,Rajasthan Royals,Jos Buttler,RHB,28,28,3,3,100.0,False
7,2008,Rajasthan Royals,Sanju Samson,RHB,22,22,3,1,100.0,True
8,2008,Delhi Capitals,Shikhar Dhawan,LHB,29,29,4,1,100.0,True
8,2008,Delhi Capitals,Rishabh Pant,LHB,32,32,4,1,100.0,True
8,2008,Mumbai Indians,Rohit Sharma,RHB,52,52,6,1,100.0,False
8,2008,Mumbai Indians,Hardik Pandya,RHB,25,25,2,2,100.0,False
8,2008,Mumbai Indians,Ishan Kishan,LHB,19,19,2,0,100.0,True
8,2008,Mumbai Indians,Quinton de Kock,LHB,14,14,1,0,100.0,True
9,2008,Sunrisers Hyderabad,David Warner,LHB,42,42,3,2,100.0,True
9,2008,Royal Challengers Bangalore,Virat Kohli,RHB,60,60,8,3,100.0,True
9,2008,Royal Challengers Bangalore,AB de Villiers,RHB,43,43,5,5,100.0,False
9,2008,Royal Challengers Bangalore,Faf du Plessis,RHB,23,23,3,2,100.0,True
10,2008,Royal Challengers Bangalore,Virat Kohli,RHB,32,32,2,1,100.0,True
10,2008,Royal Challengers Bangalore,AB de Villiers,RHB,38,38,4,2,100.0,True
