match_id,season,date,team1,team2,venue,toss_winner,toss_decision,team1_score,team2_score,winner,win_by_type,win_margin,player_of_match,city
1,2008,2008-01-27,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chennai",Mumbai Indians,bat,176,160,Chennai Super Kings,runs,16,MS Dhoni,Chennai
2,2008,2008-02-17,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chennai",Delhi Capitals,bat,179,193,Delhi Capitals,runs,14,MS Dhoni,Chennai
3,2008,2008-05-18,Mumbai Indians,Delhi Capitals,"Wankhede Stadium, Mumbai",Mumbai Indians,field,163,158,Mumbai Indians,wickets,4,Rishabh Pant,Mumbai
4,2008,2008-02-16,Mumbai Indians,Rajasthan Royals,"Wankhede Stadium, Mumbai",Mumbai Indians,field,196,178,Mumbai Indians,wickets,6,Jos Buttler,Mumbai
5,2008,2008-03-29,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,field,159,173,Mumbai Indians,runs,14,Hardik Pandya,Hyderabad
6,2008,2008-04-12,Delhi Capitals,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",Delhi Capitals,field,159,153,Delhi Capitals,wickets,9,Shikhar Dhawan,Delhi
7,2008,2008-01-17,Delhi Capitals,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,field,172,124,Delhi Capitals,runs,48,Shikhar Dhawan,Delhi
8,2008,2008-03-15,Delhi Capitals,Mumbai Indians,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat,136,151,Mumbai Indians,wickets,5,Rishabh Pant,Delhi
9,2008,2008-05-17,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,field,149,169,Royal Challengers Bangalore,wickets,2,AB de Villiers,Hyderabad
10,2008,2008-03-11,Royal Challengers Bangalore,Kolkata Knight Riders,"M. Chinnaswamy Stadium, Bangalore",Kolkata Knight Riders,field,151,134,Royal Challengers Bangalore,runs,17,Shreyas Iyer,Bangalore
11,2008,2008-02-28,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata",Kolkata Knight Riders,field,194,158,Kolkata Knight Riders,wickets,5,Andre Russell,Kolkata
12,2008,2008-02-17,Sunrisers Hyderabad,Chennai Super Kings,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Chennai Super Kings,field,169,134,Sunrisers Hyderabad,wickets,3,Suresh Raina,Hyderabad
13,2008,2008-02-26,Delhi Capitals,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad,field,158,165,Sunrisers Hyderabad,wickets,6,David Warner,Delhi
14,2008,2008-02-23,Punjab Kings,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,bat,147,170,Mumbai Indians,runs,23,Quinton de Kock,Mohali
15,2008,2008-05-10,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chennai",Kolkata Knight Riders,field,157,157,Kolkata Knight Riders,wickets,9,Andre Russell,Chennai
16,2008,2008-04-15,Chennai Super Kings,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chennai",Sunrisers Hyderabad,field,157,200,Sunrisers Hyderabad,wickets,2,Suresh Raina,Chennai
17,2008,2008-01-30,Punjab Kings,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,field,167,141,Punjab Kings,runs,26,Ishan Kishan,Mohali
18,2008,2008-05-20,Delhi Capitals,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat,182,138,Delhi Capitals,wickets,3,Shikhar Dhawan,Delhi
19,2008,2008-02-28,Punjab Kings,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,field,171,123,Punjab Kings,wickets,4,Rohit Sharma,Mohali
20,2008,2008-04-27,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chennai",Mumbai Indians,bat,144,166,Mumbai Indians,runs,22,MS Dhoni,Chennai
21,2008,2008-04-30,Royal Challengers Bangalore,Punjab Kings,"M. Chinnaswamy Stadium, Bangalore",Punjab Kings,bat,181,166,Royal Challengers Bangalore,runs,15,KL Rahul,Bangalore
22,2008,2008-01-20,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Kolkata Knight Riders,bat,165,156,Sunrisers Hyderabad,runs,9,Andre Russell,Hyderabad
23,2008,2008-01-30,Mumbai Indians,Delhi Capitals,"Wankhede Stadium, Mumbai",Mumbai Indians,field,141,148,Delhi Capitals,runs,7,Rohit Sharma,Mumbai
24,2008,2008-02-18,Mumbai Indians,Chennai Super Kings,"Wankhede Stadium, Mumbai",Mumbai Indians,bat,159,184,Chennai Super Kings,wickets,2,Ishan Kishan,Mumbai
25,2008,2008-04-16,Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,field,174,127,Punjab Kings,wickets,4,Chris Gayle,Mohali
26,2008,2008-01-30,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chennai",Mumbai Indians,field,173,155,Chennai Super Kings,wickets,7,Hardik Pandya,Chennai
27,2008,2008-02-16,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chennai",Mumbai Indians,field,155,175,Mumbai Indians,wickets,2,MS Dhoni,Chennai
28,2008,2008-01-24,Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,bat,186,181,Punjab Kings,wickets,8,Suresh Raina,Mohali
29,2008,2008-04-25,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,bat,152,156,Mumbai Indians,runs,4,MS Dhoni,Chennai
30,2008,2008-01-22,Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,bat,173,182,Chennai Super Kings,runs,9,Chris Gayle,Mohali
31,2008,2008-02-16,Delhi Capitals,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,field,159,159,Rajasthan Royals,wickets,9,Sanju Samson,Delhi
32,2008,2008-01-11,Delhi Capitals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",Delhi Capitals,field,148,139,Delhi Capitals,runs,9,Shikhar Dhawan,Delhi
33,2008,2008-01-29,Punjab Kings,Delhi Capitals,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,bat,182,190,Delhi Capitals,runs,8,KL Rahul,Mohali
34,2008,2008-05-29,Chennai Super Kings,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,field,166,183,Sunrisers Hyderabad,runs,17,David Warner,Chennai
35,2008,2008-03-17,Mumbai Indians,Delhi Capitals,"Wankhede Stadium, Mumbai",Mumbai Indians,field,174,150,Mumbai Indians,wickets,5,Shikhar Dhawan,Mumbai
36,2008,2008-01-10,Delhi Capitals,Kolkata Knight Riders,"Arun Jaitley Stadium, Delhi",Delhi Capitals,field,174,193,Kolkata Knight Riders,wickets,8,Andre Russell,Delhi
37,2008,2008-02-21,Punjab Kings,Delhi Capitals,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,bat,167,194,Delhi Capitals,runs,27,Rishabh Pant,Mohali
38,2008,2008-05-19,Chennai Super Kings,Punjab Kings,"MA Chidambaram Stadium, Chennai",Punjab Kings,field,120,179,Punjab Kings,runs,59,Chris Gayle,Chennai
39,2008,2008-03-13,Mumbai Indians,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",Sunrisers Hyderabad,field,169,157,Mumbai Indians,runs,12,David Warner,Mumbai
40,2008,2008-02-30,Chennai Super Kings,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,field,169,123,Chennai Super Kings,wickets,4,Suresh Raina,Chennai
41,2008,2008-04-18,Delhi Capitals,Punjab Kings,"Arun Jaitley Stadium, Delhi",Punjab Kings,field,164,170,Punjab Kings,runs,6,Shikhar Dhawan,Delhi
